 0 1 2
0 0.0 275.0 399.0
1 0.0 275.0 398.0
2 1.0 275.0 398.0
3 1.0 275.0 397.0
4 2.0 275.0 397.0
5 3.0 275.0 397.0
6 3.0 275.0 396.0
7 4.0 275.0 396.0
8 5.0 275.0 396.0
9 5.0 275.0 395.0
10 6.0 275.0 395.0
11 7.0 275.0 395.0
12 7.0 275.0 394.0
13 8.0 275.0 394.0
14 8.0 275.0 393.0
15 8.0 274.0 393.0
16 9.0 274.0 393.0
17 10.0 274.0 393.0
18 10.0 274.0 392.0
19 11.0 274.0 392.0
20 11.0 274.0 391.0
21 12.0 274.0 391.0
22 13.0 274.0 391.0
23 13.0 274.0 390.0
24 14.0 274.0 390.0
25 14.0 274.0 389.0
26 15.0 274.0 389.0
27 16.0 274.0 389.0
28 16.0 273.0 389.0
29 16.0 273.0 388.0
30 17.0 273.0 388.0
31 18.0 273.0 388.0
32 19.0 273.0 388.0
33 19.0 273.0 387.0
34 19.0 272.0 387.0
35 20.0 272.0 387.0
36 21.0 272.0 387.0
37 21.0 272.0 388.0
38 22.0 272.0 388.0
39 22.0 271.0 388.0
40 23.0 271.0 388.0
