 0 1 2
0 0.0 255.0 471.0
1 1.0 255.0 471.0
2 2.0 255.0 471.0
3 3.0 255.0 471.0
4 4.0 255.0 471.0
5 4.0 255.0 470.0
6 4.0 254.0 470.0
7 5.0 254.0 470.0
8 6.0 254.0 470.0
9 7.0 254.0 470.0
10 8.0 254.0 470.0
11 9.0 254.0 470.0
12 10.0 254.0 470.0
13 11.0 254.0 469.0
14 12.0 254.0 469.0
15 13.0 254.0 469.0
16 14.0 254.0 469.0
17 15.0 254.0 469.0
18 16.0 254.0 469.0
19 16.0 254.0 469.0
20 16.0 254.0 468.0
21 17.0 254.0 468.0
22 17.0 253.0 468.0
23 18.0 253.0 468.0
24 19.0 253.0 468.0
25 20.0 253.0 468.0
26 21.0 253.0 468.0
27 22.0 253.0 467.0
28 23.0 253.0 467.0
