 0 1 2
0 0.0 271.0 388.0
1 0.0 270.0 388.0
2 1.0 270.0 388.0
3 1.0 270.0 389.0
4 2.0 270.0 389.0
5 3.0 270.0 389.0
6 4.0 270.0 389.0
7 4.0 269.0 389.0
8 5.0 269.0 389.0
9 6.0 269.0 389.0
10 6.0 269.0 390.0
11 7.0 269.0 390.0
12 7.0 268.0 390.0
13 8.0 268.0 390.0
14 9.0 268.0 390.0
15 10.0 268.0 390.0
16 11.0 268.0 390.0
17 11.0 267.0 390.0
18 12.0 267.0 390.0
19 13.0 267.0 390.0
20 14.0 267.0 390.0
21 15.0 267.0 390.0
22 16.0 267.0 390.0
23 17.0 267.0 390.0
24 18.0 267.0 390.0
25 18.0 266.0 390.0
26 18.0 266.0 389.0
27 19.0 266.0 389.0
28 20.0 266.0 389.0
29 21.0 266.0 389.0
30 22.0 266.0 389.0
31 23.0 266.0 389.0
