 0 1 2
0 0.0 274.0 412.0
1 0.0 274.0 411.0
2 1.0 274.0 411.0
3 1.0 275.0 411.0
4 2.0 275.0 411.0
5 3.0 275.0 411.0
6 3.0 275.0 410.0
7 4.0 275.0 410.0
8 5.0 275.0 410.0
9 6.0 275.0 410.0
10 6.0 275.0 409.0
11 6.0 276.0 409.0
12 7.0 276.0 409.0
13 8.0 276.0 409.0
14 9.0 276.0 409.0
15 9.0 276.0 408.0
16 10.0 276.0 408.0
17 10.0 277.0 408.0
18 10.0 277.0 408.0
19 11.0 277.0 408.0
20 12.0 277.0 408.0
21 13.0 277.0 408.0
22 13.0 277.0 407.0
23 14.0 277.0 407.0
24 15.0 277.0 407.0
25 16.0 277.0 407.0
26 17.0 277.0 407.0
27 18.0 277.0 407.0
28 19.0 277.0 407.0
29 20.0 277.0 407.0
30 20.0 277.0 406.0
31 20.0 278.0 406.0
32 21.0 278.0 406.0
33 22.0 278.0 406.0
34 23.0 278.0 406.0
