 0 1 2
0 0.0 267.0 470.0
1 1.0 267.0 470.0
2 2.0 267.0 470.0
3 2.0 268.0 470.0
4 3.0 268.0 470.0
5 4.0 268.0 470.0
6 4.0 269.0 470.0
7 5.0 269.0 470.0
8 5.0 269.0 471.0
9 6.0 269.0 471.0
10 6.0 270.0 471.0
11 7.0 270.0 471.0
12 7.0 271.0 471.0
13 8.0 271.0 471.0
14 9.0 271.0 471.0
15 9.0 272.0 471.0
16 10.0 272.0 471.0
17 11.0 272.0 471.0
18 11.0 272.0 470.0
19 11.0 273.0 470.0
20 12.0 273.0 470.0
21 13.0 273.0 470.0
22 14.0 273.0 470.0
23 14.0 274.0 470.0
24 15.0 274.0 470.0
25 15.0 274.0 471.0
26 16.0 274.0 471.0
27 17.0 274.0 471.0
28 17.0 275.0 471.0
29 18.0 275.0 471.0
30 19.0 275.0 471.0
31 19.0 276.0 471.0
32 19.0 276.0 471.0
33 20.0 276.0 471.0
34 21.0 276.0 471.0
35 22.0 276.0 471.0
36 22.0 277.0 471.0
37 23.0 277.0 471.0
