 0 1 2
0 0.0 276.0 435.0
1 0.0 276.0 434.0
2 1.0 276.0 434.0
3 2.0 276.0 434.0
4 2.0 275.0 434.0
5 3.0 275.0 434.0
6 3.0 275.0 433.0
7 4.0 275.0 433.0
8 5.0 275.0 433.0
9 6.0 275.0 433.0
10 6.0 275.0 432.0
11 7.0 275.0 432.0
12 8.0 275.0 432.0
13 9.0 275.0 432.0
14 9.0 275.0 431.0
15 10.0 275.0 431.0
16 11.0 275.0 431.0
17 11.0 275.0 430.0
18 12.0 275.0 430.0
19 12.0 274.0 430.0
20 13.0 274.0 430.0
21 14.0 274.0 430.0
22 14.0 274.0 429.0
23 15.0 274.0 429.0
24 16.0 274.0 429.0
25 17.0 274.0 429.0
26 17.0 274.0 428.0
27 18.0 274.0 428.0
28 19.0 274.0 428.0
29 20.0 274.0 428.0
30 21.0 274.0 428.0
31 21.0 274.0 427.0
32 22.0 274.0 427.0
33 23.0 274.0 427.0
