 0 1 2
0 0.0 274.0 425.0
1 0.0 274.0 424.0
2 1.0 274.0 424.0
3 2.0 274.0 424.0
4 3.0 274.0 424.0
5 4.0 274.0 424.0
6 5.0 274.0 424.0
7 6.0 274.0 424.0
8 7.0 274.0 424.0
9 8.0 274.0 424.0
10 9.0 274.0 424.0
11 10.0 274.0 424.0
12 11.0 274.0 424.0
13 12.0 274.0 424.0
14 13.0 274.0 424.0
15 14.0 274.0 424.0
16 14.0 274.0 423.0
17 15.0 274.0 423.0
18 16.0 274.0 423.0
19 16.0 273.0 423.0
20 17.0 273.0 423.0
21 18.0 273.0 423.0
22 19.0 273.0 423.0
23 20.0 273.0 423.0
24 20.0 273.0 422.0
25 21.0 273.0 422.0
26 22.0 273.0 422.0
27 23.0 273.0 422.0
