 0 1 2
0 0.0 247.0 472.0
1 1.0 247.0 472.0
2 1.0 247.0 471.0
3 2.0 247.0 471.0
4 3.0 247.0 471.0
5 3.0 248.0 471.0
6 4.0 248.0 471.0
7 5.0 248.0 471.0
8 6.0 248.0 471.0
9 7.0 248.0 471.0
10 7.0 249.0 471.0
11 8.0 249.0 471.0
12 9.0 249.0 471.0
13 10.0 249.0 471.0
14 10.0 249.0 470.0
15 10.0 250.0 470.0
16 11.0 250.0 470.0
17 12.0 250.0 470.0
18 13.0 250.0 470.0
19 13.0 251.0 470.0
20 14.0 251.0 470.0
21 15.0 251.0 470.0
22 16.0 251.0 470.0
23 16.0 252.0 470.0
24 17.0 252.0 470.0
25 18.0 252.0 470.0
26 19.0 252.0 470.0
27 19.0 253.0 470.0
28 20.0 253.0 470.0
29 20.0 253.0 469.0
30 21.0 253.0 469.0
31 21.0 254.0 469.0
32 22.0 254.0 469.0
33 23.0 254.0 469.0
34 23.0 255.0 469.0
