 0 1 2
0 0.0 250.0 477.0
1 0.0 251.0 477.0
2 0.0 252.0 477.0
3 0.0 252.0 476.0
4 1.0 252.0 476.0
5 1.0 253.0 476.0
6 2.0 253.0 476.0
7 2.0 253.0 475.0
8 2.0 254.0 475.0
9 3.0 254.0 475.0
10 3.0 254.0 474.0
11 3.0 255.0 474.0
12 3.0 255.0 473.0
13 4.0 255.0 473.0
14 4.0 256.0 473.0
15 5.0 256.0 473.0
16 5.0 256.0 472.0
17 5.0 255.0 472.0
18 5.0 255.0 471.0
19 6.0 255.0 471.0
20 7.0 255.0 471.0
21 8.0 255.0 471.0
22 9.0 255.0 471.0
23 10.0 255.0 471.0
24 11.0 255.0 471.0
25 12.0 255.0 471.0
26 13.0 255.0 471.0
27 14.0 255.0 471.0
28 15.0 255.0 471.0
29 16.0 255.0 471.0
30 17.0 255.0 471.0
31 17.0 255.0 472.0
32 18.0 255.0 472.0
33 19.0 255.0 472.0
34 20.0 255.0 472.0
35 21.0 255.0 472.0
36 22.0 255.0 472.0
37 23.0 255.0 472.0
38 23.0 255.0 471.0
