 0 1 2
0 0.0 249.0 472.0
1 0.0 249.0 471.0
2 1.0 249.0 471.0
3 2.0 249.0 471.0
4 2.0 248.0 471.0
5 3.0 248.0 471.0
6 4.0 248.0 471.0
7 5.0 248.0 471.0
8 5.0 247.0 471.0
9 6.0 247.0 471.0
10 7.0 247.0 471.0
11 8.0 247.0 471.0
12 8.0 246.0 471.0
13 9.0 246.0 471.0
14 9.0 246.0 470.0
15 10.0 246.0 470.0
16 11.0 246.0 470.0
17 11.0 245.0 470.0
18 12.0 245.0 470.0
19 12.0 245.0 470.0
20 12.0 244.0 470.0
21 14.0 244.0 470.0
22 15.0 244.0 470.0
23 16.0 244.0 470.0
24 16.0 243.0 470.0
25 17.0 243.0 470.0
26 19.0 243.0 470.0
27 19.0 242.0 470.0
28 19.0 242.0 470.0
29 20.0 242.0 470.0
30 21.0 242.0 470.0
31 21.0 241.0 470.0
32 22.0 241.0 470.0
33 23.0 241.0 470.0
34 23.0 240.0 470.0
