 0 1 2
0 0.0 255.0 468.0
1 0.0 255.0 469.0
2 0.0 256.0 469.0
3 1.0 256.0 469.0
4 2.0 256.0 469.0
5 3.0 256.0 469.0
6 4.0 256.0 469.0
7 5.0 256.0 469.0
8 6.0 256.0 469.0
9 7.0 256.0 469.0
10 7.0 255.0 469.0
11 8.0 255.0 469.0
12 9.0 255.0 469.0
13 10.0 255.0 469.0
14 11.0 255.0 469.0
15 11.0 255.0 470.0
16 12.0 255.0 470.0
17 13.0 255.0 470.0
18 14.0 255.0 470.0
19 15.0 255.0 470.0
20 15.0 254.0 470.0
21 16.0 254.0 470.0
22 17.0 254.0 470.0
23 18.0 254.0 470.0
24 19.0 254.0 470.0
25 20.0 254.0 470.0
26 21.0 254.0 470.0
27 21.0 254.0 471.0
28 22.0 254.0 471.0
29 23.0 254.0 471.0
