 0 1 2
0 0.0 277.0 471.0
1 1.0 277.0 471.0
2 2.0 277.0 471.0
3 3.0 277.0 471.0
4 4.0 277.0 471.0
5 4.0 277.0 472.0
6 5.0 277.0 472.0
7 6.0 277.0 472.0
8 7.0 277.0 472.0
9 8.0 277.0 472.0
10 9.0 277.0 472.0
11 10.0 277.0 472.0
12 11.0 277.0 472.0
13 11.0 277.0 471.0
14 12.0 277.0 471.0
15 12.0 276.0 471.0
16 13.0 276.0 471.0
17 14.0 276.0 471.0
18 15.0 276.0 471.0
19 15.0 275.0 471.0
20 16.0 275.0 471.0
21 17.0 275.0 471.0
22 18.0 275.0 471.0
23 19.0 275.0 471.0
24 19.0 275.0 470.0
25 20.0 275.0 470.0
26 21.0 275.0 470.0
27 22.0 275.0 470.0
28 22.0 275.0 469.0
29 22.0 274.0 469.0
30 23.0 274.0 469.0
31 23.0 274.0 468.0
