 0 1 2
0 0.0 253.0 467.0
1 1.0 253.0 467.0
2 1.0 253.0 466.0
3 2.0 253.0 466.0
4 3.0 253.0 466.0
5 4.0 253.0 466.0
6 4.0 253.0 465.0
7 5.0 253.0 465.0
8 6.0 253.0 465.0
9 7.0 253.0 465.0
10 7.0 253.0 464.0
11 8.0 253.0 464.0
12 9.0 253.0 464.0
13 9.0 253.0 463.0
14 10.0 253.0 463.0
15 11.0 253.0 463.0
16 12.0 253.0 463.0
17 12.0 253.0 462.0
18 13.0 253.0 462.0
19 14.0 253.0 462.0
20 15.0 253.0 462.0
21 15.0 252.0 462.0
22 16.0 252.0 462.0
23 16.0 252.0 461.0
24 18.0 252.0 461.0
25 19.0 252.0 461.0
26 20.0 252.0 461.0
27 21.0 252.0 461.0
28 21.0 252.0 460.0
29 22.0 252.0 460.0
30 23.0 252.0 460.0
