 0 1 2
0 0.0 238.0 467.0
1 1.0 238.0 467.0
2 2.0 238.0 467.0
3 3.0 238.0 467.0
4 3.0 238.0 466.0
5 3.0 239.0 466.0
6 4.0 239.0 466.0
7 5.0 239.0 466.0
8 6.0 239.0 466.0
9 7.0 239.0 466.0
10 7.0 240.0 466.0
11 8.0 240.0 466.0
12 9.0 240.0 466.0
13 10.0 240.0 466.0
14 11.0 240.0 466.0
15 11.0 241.0 466.0
16 12.0 241.0 466.0
17 12.0 241.0 465.0
18 13.0 241.0 465.0
19 14.0 241.0 465.0
20 15.0 241.0 465.0
21 15.0 242.0 465.0
22 16.0 242.0 465.0
23 17.0 242.0 465.0
24 18.0 242.0 465.0
25 19.0 242.0 465.0
26 19.0 243.0 465.0
27 19.0 243.0 465.0
28 20.0 243.0 465.0
29 21.0 243.0 465.0
30 22.0 243.0 465.0
31 23.0 243.0 465.0
32 23.0 244.0 465.0
