 0 1 2
0 0.0 248.0 473.0
1 1.0 248.0 473.0
2 2.0 248.0 473.0
3 3.0 248.0 473.0
4 3.0 247.0 473.0
5 4.0 247.0 473.0
6 5.0 247.0 473.0
7 6.0 247.0 473.0
8 7.0 247.0 473.0
9 8.0 247.0 473.0
10 9.0 247.0 473.0
11 10.0 247.0 473.0
12 11.0 247.0 473.0
13 12.0 247.0 473.0
14 13.0 247.0 473.0
15 14.0 247.0 473.0
16 15.0 247.0 473.0
17 16.0 247.0 473.0
18 17.0 247.0 473.0
19 18.0 247.0 473.0
20 18.0 247.0 472.0
21 19.0 247.0 472.0
22 20.0 247.0 472.0
23 21.0 247.0 472.0
24 22.0 247.0 472.0
25 23.0 247.0 472.0
