 0 1 2
0 0.0 253.0 489.0
1 0.0 253.0 490.0
2 0.0 252.0 490.0
3 0.0 252.0 491.0
4 0.0 252.0 492.0
5 0.0 251.0 492.0
6 1.0 251.0 492.0
7 1.0 251.0 493.0
8 2.0 251.0 493.0
9 2.0 251.0 492.0
10 3.0 251.0 492.0
11 4.0 251.0 492.0
12 5.0 251.0 492.0
13 6.0 251.0 492.0
14 7.0 251.0 492.0
15 8.0 251.0 492.0
16 9.0 251.0 492.0
17 10.0 251.0 492.0
18 11.0 251.0 492.0
19 12.0 251.0 492.0
20 13.0 251.0 492.0
21 14.0 251.0 492.0
22 15.0 251.0 492.0
23 16.0 251.0 492.0
24 17.0 251.0 492.0
25 18.0 251.0 492.0
26 18.0 251.0 491.0
27 18.0 251.0 490.0
28 19.0 251.0 490.0
29 19.0 251.0 489.0
30 19.0 251.0 488.0
31 19.0 252.0 488.0
32 19.0 252.0 487.0
33 20.0 252.0 487.0
34 20.0 252.0 486.0
35 20.0 252.0 485.0
36 20.0 252.0 484.0
37 20.0 252.0 483.0
38 21.0 252.0 483.0
39 21.0 251.0 483.0
40 21.0 250.0 483.0
41 21.0 249.0 483.0
42 21.0 248.0 483.0
43 22.0 248.0 483.0
44 22.0 248.0 482.0
45 22.0 248.0 481.0
46 22.0 248.0 480.0
47 22.0 248.0 479.0
48 23.0 248.0 479.0
49 23.0 249.0 479.0
50 23.0 249.0 478.0
51 23.0 250.0 478.0
52 23.0 250.0 477.0
53 24.0 250.0 477.0
