 0 1 2
0 0.0 274.0 427.0
1 1.0 274.0 427.0
2 1.0 274.0 426.0
3 1.0 273.0 426.0
4 2.0 273.0 426.0
5 3.0 273.0 426.0
6 4.0 273.0 426.0
7 5.0 273.0 426.0
8 6.0 273.0 426.0
9 7.0 273.0 426.0
10 8.0 273.0 426.0
11 9.0 273.0 426.0
12 10.0 273.0 426.0
13 11.0 273.0 426.0
14 11.0 273.0 425.0
15 12.0 273.0 425.0
16 13.0 273.0 425.0
17 14.0 273.0 425.0
18 15.0 273.0 425.0
19 16.0 273.0 425.0
20 17.0 273.0 425.0
21 18.0 273.0 425.0
22 19.0 273.0 425.0
23 19.0 274.0 425.0
24 20.0 274.0 425.0
25 21.0 274.0 425.0
26 22.0 274.0 425.0
27 23.0 274.0 425.0
