 0 1 2
0 0.0 247.0 470.0
1 1.0 247.0 470.0
2 1.0 247.0 471.0
3 1.0 248.0 471.0
4 2.0 248.0 471.0
5 3.0 248.0 471.0
6 4.0 248.0 471.0
7 5.0 248.0 471.0
8 5.0 248.0 472.0
9 6.0 248.0 472.0
10 7.0 248.0 472.0
11 8.0 248.0 472.0
12 9.0 248.0 472.0
13 10.0 248.0 472.0
14 10.0 249.0 472.0
15 11.0 249.0 472.0
16 12.0 249.0 472.0
17 13.0 249.0 472.0
18 13.0 248.0 472.0
19 14.0 248.0 472.0
20 15.0 248.0 472.0
21 16.0 248.0 472.0
22 17.0 248.0 472.0
23 17.0 248.0 473.0
24 18.0 248.0 473.0
25 19.0 248.0 473.0
26 20.0 248.0 473.0
27 21.0 248.0 473.0
28 22.0 248.0 473.0
29 23.0 248.0 473.0
