 0 1 2
0 0.0 240.0 470.0
1 1.0 240.0 470.0
2 1.0 239.0 470.0
3 2.0 239.0 470.0
4 3.0 239.0 470.0
5 3.0 239.0 469.0
6 4.0 239.0 469.0
7 4.0 238.0 469.0
8 5.0 238.0 469.0
9 6.0 238.0 469.0
10 7.0 238.0 469.0
11 7.0 237.0 469.0
12 8.0 237.0 469.0
13 9.0 237.0 469.0
14 10.0 237.0 469.0
15 10.0 237.0 468.0
16 11.0 237.0 468.0
17 12.0 237.0 468.0
18 12.0 236.0 468.0
19 13.0 236.0 468.0
20 14.0 236.0 468.0
21 15.0 236.0 468.0
22 16.0 236.0 468.0
23 17.0 236.0 468.0
24 18.0 236.0 468.0
25 18.0 236.0 469.0
26 18.0 236.0 469.0
27 19.0 236.0 469.0
28 20.0 236.0 469.0
29 21.0 236.0 469.0
30 22.0 236.0 469.0
31 23.0 236.0 469.0
