 0 1 2
0 0.0 252.0 460.0
1 1.0 252.0 460.0
2 2.0 252.0 460.0
3 2.0 252.0 459.0
4 3.0 252.0 459.0
5 3.0 251.0 459.0
6 4.0 251.0 459.0
7 5.0 251.0 459.0
8 6.0 251.0 459.0
9 7.0 251.0 459.0
10 8.0 251.0 459.0
11 9.0 251.0 459.0
12 10.0 251.0 459.0
13 11.0 251.0 459.0
14 12.0 251.0 459.0
15 13.0 251.0 459.0
16 13.0 250.0 459.0
17 14.0 250.0 459.0
18 15.0 250.0 459.0
19 16.0 250.0 459.0
20 17.0 250.0 459.0
21 18.0 250.0 459.0
22 18.0 250.0 460.0
23 19.0 250.0 460.0
24 20.0 250.0 460.0
25 21.0 250.0 460.0
26 22.0 250.0 460.0
27 23.0 250.0 460.0
