 0 1 2
0 0.0 277.0 404.0
1 1.0 277.0 404.0
2 2.0 277.0 404.0
3 3.0 277.0 404.0
4 3.0 277.0 403.0
5 4.0 277.0 403.0
6 5.0 277.0 403.0
7 6.0 277.0 403.0
8 6.0 276.0 403.0
9 7.0 276.0 403.0
10 8.0 276.0 403.0
11 9.0 276.0 403.0
12 10.0 276.0 403.0
13 11.0 276.0 403.0
14 12.0 276.0 403.0
15 12.0 276.0 402.0
16 13.0 276.0 402.0
17 14.0 276.0 402.0
18 15.0 276.0 402.0
19 16.0 276.0 402.0
20 16.0 276.0 401.0
21 17.0 276.0 401.0
22 18.0 276.0 401.0
23 18.0 275.0 401.0
24 19.0 275.0 401.0
25 20.0 275.0 401.0
26 20.0 275.0 400.0
27 21.0 275.0 400.0
28 22.0 275.0 400.0
29 22.0 275.0 399.0
30 23.0 275.0 399.0
