 0 1 2
0 0.0 273.0 422.0
1 0.0 273.0 421.0
2 1.0 273.0 421.0
3 2.0 273.0 421.0
4 3.0 273.0 421.0
5 3.0 273.0 420.0
6 4.0 273.0 420.0
7 5.0 273.0 420.0
8 5.0 273.0 419.0
9 6.0 273.0 419.0
10 7.0 273.0 419.0
11 8.0 273.0 419.0
12 8.0 273.0 418.0
13 9.0 273.0 418.0
14 10.0 273.0 418.0
15 10.0 273.0 417.0
16 11.0 273.0 417.0
17 12.0 273.0 417.0
18 13.0 273.0 417.0
19 13.0 273.0 416.0
20 14.0 273.0 416.0
21 15.0 273.0 416.0
22 15.0 273.0 415.0
23 16.0 273.0 415.0
24 16.0 274.0 415.0
25 17.0 274.0 415.0
26 17.0 274.0 414.0
27 18.0 274.0 414.0
28 19.0 274.0 414.0
29 19.0 274.0 413.0
30 20.0 274.0 413.0
31 21.0 274.0 413.0
32 22.0 274.0 413.0
33 22.0 274.0 412.0
34 23.0 274.0 412.0
