 0 1 2
0 0.0 254.0 471.0
1 0.0 253.0 471.0
2 1.0 253.0 471.0
3 2.0 253.0 471.0
4 3.0 253.0 471.0
5 4.0 253.0 471.0
6 5.0 253.0 471.0
7 5.0 253.0 472.0
8 6.0 253.0 472.0
9 6.0 252.0 472.0
10 6.0 252.0 472.0
11 7.0 252.0 472.0
12 8.0 252.0 472.0
13 9.0 252.0 472.0
14 10.0 252.0 472.0
15 11.0 252.0 472.0
16 12.0 252.0 472.0
17 12.0 251.0 472.0
18 13.0 251.0 472.0
19 14.0 251.0 472.0
20 15.0 251.0 472.0
21 16.0 251.0 472.0
22 17.0 251.0 472.0
23 17.0 250.0 472.0
24 17.0 250.0 472.0
25 18.0 250.0 472.0
26 19.0 250.0 472.0
27 20.0 250.0 472.0
28 21.0 250.0 472.0
29 22.0 250.0 472.0
30 23.0 250.0 472.0
31 23.0 249.0 472.0
