 0 1 2
0 0.0 266.0 389.0
1 0.0 266.0 388.0
2 1.0 266.0 388.0
3 2.0 266.0 388.0
4 3.0 266.0 388.0
5 4.0 266.0 388.0
6 4.0 267.0 388.0
7 5.0 267.0 388.0
8 5.0 266.0 388.0
9 6.0 266.0 388.0
10 7.0 266.0 388.0
11 7.0 266.0 389.0
12 8.0 266.0 389.0
13 9.0 266.0 389.0
14 10.0 266.0 389.0
15 11.0 266.0 389.0
16 12.0 266.0 389.0
17 13.0 266.0 389.0
18 14.0 266.0 389.0
19 14.0 265.0 389.0
20 15.0 265.0 389.0
21 16.0 265.0 389.0
22 17.0 265.0 389.0
23 17.0 264.0 389.0
24 18.0 264.0 389.0
25 19.0 264.0 389.0
26 19.0 263.0 389.0
27 20.0 263.0 389.0
28 20.0 264.0 389.0
29 20.0 264.0 388.0
30 20.0 265.0 388.0
31 21.0 265.0 388.0
32 21.0 265.0 387.0
33 21.0 265.0 386.0
34 21.0 266.0 386.0
35 21.0 266.0 385.0
36 22.0 266.0 385.0
37 22.0 266.0 384.0
38 22.0 265.0 384.0
39 22.0 265.0 383.0
40 22.0 264.0 383.0
41 22.0 264.0 382.0
42 22.0 263.0 382.0
43 23.0 263.0 382.0
44 23.0 263.0 381.0
45 23.0 263.0 380.0
46 23.0 262.0 380.0
47 23.0 262.0 379.0
48 23.0 262.0 378.0
49 23.0 261.0 378.0
