 0 1 2
0 0.0 250.0 460.0
1 0.0 250.0 461.0
2 1.0 250.0 461.0
3 2.0 250.0 461.0
4 3.0 250.0 461.0
5 4.0 250.0 461.0
6 5.0 250.0 461.0
7 5.0 250.0 462.0
8 6.0 250.0 462.0
9 7.0 250.0 462.0
10 8.0 250.0 462.0
11 9.0 250.0 462.0
12 9.0 250.0 463.0
13 10.0 250.0 463.0
14 11.0 250.0 463.0
15 12.0 250.0 463.0
16 13.0 250.0 463.0
17 14.0 250.0 463.0
18 15.0 250.0 463.0
19 15.0 251.0 463.0
20 15.0 251.0 464.0
21 16.0 251.0 464.0
22 17.0 251.0 464.0
23 18.0 251.0 464.0
24 19.0 251.0 464.0
25 20.0 251.0 464.0
26 20.0 251.0 465.0
27 21.0 251.0 465.0
28 21.0 252.0 465.0
29 22.0 252.0 465.0
30 23.0 252.0 465.0
