 0 1 2
0 0.0 275.0 457.0
1 0.0 275.0 456.0
2 1.0 275.0 456.0
3 2.0 275.0 456.0
4 2.0 275.0 455.0
5 3.0 275.0 455.0
6 4.0 275.0 455.0
7 5.0 275.0 455.0
8 5.0 276.0 455.0
9 5.0 276.0 454.0
10 6.0 276.0 454.0
11 7.0 276.0 454.0
12 7.0 276.0 453.0
13 8.0 276.0 453.0
14 8.0 277.0 453.0
15 9.0 277.0 453.0
16 9.0 277.0 452.0
17 10.0 277.0 452.0
18 10.0 277.0 451.0
19 11.0 277.0 451.0
20 12.0 277.0 451.0
21 12.0 277.0 450.0
22 13.0 277.0 450.0
23 14.0 277.0 450.0
24 14.0 277.0 449.0
25 15.0 277.0 449.0
26 16.0 277.0 449.0
27 16.0 277.0 448.0
28 17.0 277.0 448.0
29 18.0 277.0 448.0
30 18.0 278.0 448.0
31 18.0 278.0 447.0
32 19.0 278.0 447.0
33 20.0 278.0 447.0
34 20.0 278.0 446.0
35 21.0 278.0 446.0
36 21.0 279.0 446.0
37 22.0 279.0 446.0
38 22.0 279.0 445.0
39 23.0 279.0 445.0
40 23.0 279.0 444.0
