 0 1 2
0 0.0 255.0 469.0
1 1.0 255.0 469.0
2 1.0 256.0 469.0
3 2.0 256.0 469.0
4 2.0 257.0 469.0
5 3.0 257.0 469.0
6 3.0 257.0 470.0
7 4.0 257.0 470.0
8 4.0 258.0 470.0
9 5.0 258.0 470.0
10 5.0 259.0 470.0
11 6.0 259.0 470.0
12 7.0 259.0 470.0
13 7.0 260.0 470.0
14 8.0 260.0 470.0
15 8.0 261.0 470.0
16 9.0 261.0 470.0
17 9.0 261.0 471.0
18 10.0 261.0 471.0
19 10.0 262.0 471.0
20 11.0 262.0 471.0
21 12.0 262.0 471.0
22 12.0 263.0 471.0
23 13.0 263.0 471.0
24 14.0 263.0 471.0
25 15.0 263.0 471.0
26 15.0 264.0 471.0
27 16.0 264.0 471.0
28 17.0 264.0 471.0
29 17.0 265.0 471.0
30 18.0 265.0 471.0
31 19.0 265.0 471.0
32 20.0 265.0 471.0
33 20.0 266.0 471.0
34 21.0 266.0 471.0
35 22.0 266.0 471.0
36 23.0 266.0 471.0
37 23.0 267.0 471.0
38 23.0 267.0 470.0
