 0 1 2
0 0.0 278.0 405.0
1 1.0 278.0 405.0
2 2.0 278.0 405.0
3 3.0 278.0 405.0
4 4.0 278.0 405.0
5 5.0 278.0 405.0
6 6.0 278.0 405.0
7 7.0 278.0 405.0
8 8.0 278.0 405.0
9 9.0 278.0 405.0
10 10.0 278.0 405.0
11 11.0 278.0 405.0
12 12.0 278.0 405.0
13 12.0 278.0 404.0
14 13.0 278.0 404.0
15 14.0 278.0 404.0
16 14.0 277.0 404.0
17 15.0 277.0 404.0
18 16.0 277.0 404.0
19 17.0 277.0 404.0
20 18.0 277.0 404.0
21 19.0 277.0 404.0
22 20.0 277.0 404.0
23 21.0 277.0 404.0
24 22.0 277.0 404.0
25 23.0 277.0 404.0
