 0 1 2
0 0.0 252.0 465.0
1 1.0 252.0 465.0
2 1.0 252.0 466.0
3 2.0 252.0 466.0
4 2.0 253.0 466.0
5 3.0 253.0 466.0
6 4.0 253.0 466.0
7 5.0 253.0 466.0
8 5.0 253.0 467.0
9 6.0 253.0 467.0
10 7.0 253.0 467.0
11 8.0 253.0 467.0
12 9.0 253.0 467.0
13 9.0 254.0 467.0
14 10.0 254.0 467.0
15 11.0 254.0 467.0
16 12.0 254.0 467.0
17 13.0 254.0 467.0
18 13.0 254.0 468.0
19 14.0 254.0 468.0
20 14.0 255.0 468.0
21 15.0 255.0 468.0
22 16.0 255.0 468.0
23 17.0 255.0 468.0
24 18.0 255.0 468.0
25 19.0 255.0 468.0
26 20.0 255.0 468.0
27 21.0 255.0 468.0
28 22.0 255.0 468.0
29 23.0 255.0 468.0
