 0 1 2
0 0.0 244.0 465.0
1 1.0 244.0 465.0
2 1.0 244.0 466.0
3 2.0 244.0 466.0
4 3.0 244.0 466.0
5 4.0 244.0 466.0
6 4.0 245.0 466.0
7 5.0 245.0 466.0
8 6.0 245.0 466.0
9 7.0 245.0 466.0
10 7.0 245.0 467.0
11 8.0 245.0 467.0
12 9.0 245.0 467.0
13 10.0 245.0 467.0
14 10.0 246.0 467.0
15 11.0 246.0 467.0
16 12.0 246.0 467.0
17 13.0 246.0 467.0
18 13.0 246.0 468.0
19 14.0 246.0 468.0
20 15.0 246.0 468.0
21 16.0 246.0 468.0
22 16.0 246.0 469.0
23 17.0 246.0 469.0
24 18.0 246.0 469.0
25 19.0 246.0 469.0
26 19.0 246.0 470.0
27 19.0 247.0 470.0
28 20.0 247.0 470.0
29 21.0 247.0 470.0
30 22.0 247.0 470.0
31 23.0 247.0 470.0
