 0 1 2
0 0.0 279.0 444.0
1 1.0 279.0 444.0
2 1.0 279.0 443.0
3 2.0 279.0 443.0
4 2.0 279.0 442.0
5 3.0 279.0 442.0
6 4.0 279.0 442.0
7 4.0 279.0 441.0
8 5.0 279.0 441.0
9 6.0 279.0 441.0
10 6.0 278.0 441.0
11 6.0 278.0 440.0
12 7.0 278.0 440.0
13 8.0 278.0 440.0
14 8.0 278.0 439.0
15 9.0 278.0 439.0
16 10.0 278.0 439.0
17 10.0 278.0 438.0
18 11.0 278.0 438.0
19 12.0 278.0 438.0
20 12.0 278.0 437.0
21 13.0 278.0 437.0
22 14.0 278.0 437.0
23 14.0 277.0 437.0
24 15.0 277.0 437.0
25 15.0 277.0 436.0
26 16.0 277.0 436.0
27 17.0 277.0 436.0
28 18.0 277.0 436.0
29 18.0 276.0 436.0
30 19.0 276.0 436.0
31 20.0 276.0 436.0
32 20.0 276.0 435.0
33 21.0 276.0 435.0
34 22.0 276.0 435.0
35 23.0 276.0 435.0
