 0 1 2
0 0.0 236.0 469.0
1 1.0 236.0 469.0
2 1.0 235.0 469.0
3 2.0 235.0 469.0
4 3.0 235.0 469.0
5 4.0 235.0 469.0
6 5.0 235.0 469.0
7 6.0 235.0 469.0
8 7.0 235.0 469.0
9 8.0 235.0 469.0
10 9.0 235.0 469.0
11 9.0 236.0 469.0
12 10.0 236.0 469.0
13 11.0 236.0 469.0
14 12.0 236.0 469.0
15 12.0 236.0 468.0
16 13.0 236.0 468.0
17 14.0 236.0 468.0
18 15.0 236.0 468.0
19 16.0 236.0 468.0
20 17.0 236.0 468.0
21 18.0 236.0 468.0
22 18.0 237.0 468.0
23 19.0 237.0 468.0
24 20.0 237.0 468.0
25 21.0 237.0 468.0
26 21.0 237.0 467.0
27 22.0 237.0 467.0
28 22.0 238.0 467.0
29 23.0 238.0 467.0
